loan_amount,interest_rate,grade,homeownership,debt_to_income
23100,11.98,B,RENT,NA
10000,7.97,A,RENT,8.71
15000,11.99,B,MORTGAGE,15.78
15000,7.34,A,OWN,27.98
4200,19.42,D,RENT,5.32
18000,12.62,C,MORTGAGE,21.39
6000,7.96,A,MORTGAGE,33.29
27000,11.99,B,RENT,8.95
12000,10.42,B,RENT,14.68
8000,11.99,B,RENT,5.23
10000,19.42,D,RENT,25.41
30000,11.98,B,MORTGAGE,14.58
7000,6.07,A,MORTGAGE,26.47
20000,6.72,A,RENT,7.81
15000,6.72,A,MORTGAGE,26.34
15000,7.35,A,MORTGAGE,9
30850,13.59,C,MORTGAGE,24.7
15000,15.05,C,MORTGAGE,22.2
40000,5.31,A,RENT,9.36
6000,9.43,B,MORTGAGE,15.6
2600,9.43,B,OWN,19.09
10000,9.44,B,RENT,9.38
3600,20,D,MORTGAGE,19.31
27000,10.42,B,MORTGAGE,2.42
3000,11.98,B,RENT,14.64
10000,20.39,D,RENT,26.42
4000,9.93,B,RENT,19.44
10000,12.61,C,MORTGAGE,18.96
3600,7.97,A,MORTGAGE,5.62
20500,9.44,B,OWN,19.86
35000,14.07,C,MORTGAGE,14.86
6000,10.41,B,MORTGAGE,14.51
13000,13.59,C,RENT,20.76
25000,14.07,C,MORTGAGE,16.13
3500,7.97,A,RENT,19.43
25000,19.42,D,MORTGAGE,31.08
30000,9.44,B,RENT,20.34
13000,11.98,B,OWN,12.46
25000,7.96,A,MORTGAGE,29.55
5000,15.04,C,MORTGAGE,37.77
4800,9.92,B,MORTGAGE,9.55
3000,12.62,C,RENT,15.53
15000,18.45,D,MORTGAGE,35.22
20000,9.43,B,MORTGAGE,6.7
15000,21.85,D,RENT,14.61
14500,7.97,A,RENT,8.82
12000,18.06,D,MORTGAGE,9
20000,14.08,C,RENT,25.46
30000,18.06,D,RENT,7.44
10000,17.09,D,MORTGAGE,26.19
6000,9.93,B,RENT,28.84
12000,11.99,B,OWN,23.9
16000,13.58,C,RENT,16
15000,10.9,B,RENT,11.89
15000,7.97,A,RENT,22.41
9000,7.35,A,MORTGAGE,2.9
1000,10.91,B,RENT,20.99
25000,13.59,C,OWN,18.99
40000,7.34,A,RENT,10.74
12500,6.72,A,MORTGAGE,3.23
20000,10.91,B,MORTGAGE,3.57
16500,16.02,C,RENT,14.67
40000,10.91,B,MORTGAGE,11.03
1500,6.72,A,MORTGAGE,17.62
10000,16.01,C,MORTGAGE,13.02
5000,10.42,B,MORTGAGE,12.04
3000,21.45,D,RENT,56.69
16000,9.93,B,RENT,15.08
20000,5.32,A,MORTGAGE,9.51
35000,14.08,C,OWN,21.18
10000,12.61,C,MORTGAGE,21.68
10000,14.08,C,RENT,12.29
20000,10.91,B,MORTGAGE,26.26
10000,14.08,C,MORTGAGE,16.25
10800,24.85,E,RENT,10.49
35000,14.07,C,OWN,103.98
21600,7.34,A,RENT,1.43
15000,12.61,C,MORTGAGE,9.92
30000,9.93,B,MORTGAGE,26
10000,13.59,C,RENT,23.17
6000,10.41,B,MORTGAGE,4.91
13000,19.03,D,MORTGAGE,36.4
22000,9.44,B,MORTGAGE,18.52
15000,10.9,B,RENT,19.16
20000,9.92,B,RENT,27.14
24000,10.9,B,OWN,1.17
35000,13.59,C,MORTGAGE,14.23
6000,9.92,B,RENT,20.14
14000,11.99,B,MORTGAGE,32.06
20000,7.34,A,OWN,28.55
16000,21.45,D,RENT,22.99
4800,9.93,B,RENT,1.15
15000,9.44,B,MORTGAGE,23.23
20000,18.06,D,MORTGAGE,6.77
8000,10.9,B,MORTGAGE,21.28
18125,13.59,C,RENT,8.47
8000,6.71,A,MORTGAGE,24.91
30000,24.85,E,RENT,13.82
19500,6.71,A,RENT,4.38
10000,5.31,A,MORTGAGE,11.69
21000,6.71,A,MORTGAGE,1.61
9000,11.98,B,RENT,23.34
35000,7.35,A,OWN,7.77
10000,6.71,A,OWN,10.32
15000,14.08,C,OWN,36.09
13000,12.62,C,MORTGAGE,16.3
35000,23.87,E,MORTGAGE,26.96
10000,6.71,A,RENT,10.09
20000,16.02,C,OWN,6.73
20000,9.93,B,MORTGAGE,22.7
16000,7.96,A,RENT,0.7
3500,10.42,B,OWN,32.69
4800,17.09,D,RENT,13.71
7000,5.32,A,MORTGAGE,17.35
14700,10.9,B,RENT,16.02
3600,7.35,A,OWN,19.64
8000,5.31,A,MORTGAGE,14.63
5000,19.42,D,RENT,31.24
1500,17.47,D,RENT,24.68
11000,7.96,A,MORTGAGE,10.68
8500,15.04,C,MORTGAGE,19.6
7500,12.62,C,RENT,9.9
17975,5.31,A,MORTGAGE,53.38
8000,10.42,B,MORTGAGE,23.08
12000,7.97,A,RENT,13.29
18000,10.91,B,OWN,28.45
4000,20.39,D,OWN,24.03
40000,5.32,A,RENT,11.03
6000,10.91,B,MORTGAGE,10.5
10000,12.62,C,RENT,34.09
30000,21.45,D,RENT,21.22
4000,14.08,C,MORTGAGE,2.28
5500,6.72,A,RENT,23.77
16000,16.01,C,RENT,15.24
3800,7.96,A,MORTGAGE,11.61
2500,7.97,A,RENT,20.55
11000,18.45,D,RENT,16.99
11875,9.93,B,MORTGAGE,16.79
18000,9.93,B,MORTGAGE,28.94
11500,7.35,A,MORTGAGE,50.47
5000,10.42,B,MORTGAGE,33.41
25000,5.31,A,MORTGAGE,11.2
20000,12.62,C,MORTGAGE,23.35
9000,18.45,D,MORTGAGE,13.34
6000,14.07,C,RENT,27.36
10000,15.05,C,MORTGAGE,7.32
30000,17.09,D,OWN,16.04
6000,7.97,A,MORTGAGE,24.24
4200,10.42,B,RENT,8.83
4000,9.93,B,RENT,8.83
10000,5.31,A,RENT,19.59
16000,6.07,A,MORTGAGE,4.39
5000,11.99,B,RENT,9.59
18000,7.35,A,MORTGAGE,17.74
40000,5.31,A,MORTGAGE,8.56
25000,6.08,A,MORTGAGE,21.49
12000,9.92,B,RENT,4.11
10000,25.81,E,RENT,9.31
14400,5.31,A,RENT,24.12
40000,10.91,B,MORTGAGE,8.83
30000,20,D,RENT,8.98
11850,9.43,B,OWN,19.84
4800,9.44,B,OWN,16.3
10000,12.61,C,RENT,13.32
12000,15.05,C,RENT,12.04
40000,6.08,A,MORTGAGE,12.01
6000,9.93,B,RENT,23.48
35000,6.08,A,MORTGAGE,10.47
15000,6.08,A,OWN,7.75
14000,13.59,C,OWN,33.94
3000,17.09,D,RENT,19.17
14400,24.85,E,MORTGAGE,103.52
13000,9.93,B,MORTGAGE,15.78
10000,18.06,D,RENT,12.43
25000,9.44,B,RENT,30.75
35000,12.61,C,RENT,17.52
9600,9.93,B,RENT,34.38
12000,15.04,C,MORTGAGE,11.25
20000,13.58,C,RENT,21.89
10000,17.47,D,RENT,3.95
4000,13.59,C,OWN,36.38
24000,19.42,D,RENT,19.16
9100,5.32,A,MORTGAGE,4.86
12000,7.34,A,MORTGAGE,45.37
12500,6.07,A,OWN,18.09
30000,10.9,B,RENT,13.08
30000,26.77,E,MORTGAGE,30.1
10000,9.93,B,MORTGAGE,12.88
12000,6.72,A,MORTGAGE,15.77
15000,10.91,B,MORTGAGE,26.56
12000,7.96,A,RENT,12.81
35000,10.91,B,RENT,12.72
13000,18.06,D,RENT,5.16
8000,16.02,C,OWN,10.33
8000,9.44,B,MORTGAGE,15.73
26000,19.03,D,OWN,29.37
21000,6.71,A,RENT,15.36
18400,19.03,D,MORTGAGE,44.42
4550,10.91,B,RENT,11.4
25000,19.03,D,OWN,33.93
20000,11.99,B,RENT,1.63
4000,10.91,B,MORTGAGE,17.32
24000,9.92,B,RENT,1.95
24000,9.92,B,MORTGAGE,0
10000,14.07,C,RENT,5.79
21000,10.42,B,MORTGAGE,36.16
12000,11.99,B,MORTGAGE,26.56
3000,12.62,C,RENT,5.03
15000,6.08,A,OWN,12.16
15000,5.32,A,OWN,8.84
16000,11.99,B,RENT,18
30000,10.9,B,RENT,18.76
16000,10.42,B,OWN,11.44
30000,11.98,B,MORTGAGE,52.7
6000,10.91,B,OWN,59.35
25000,6.71,A,RENT,12.95
25000,15.05,C,MORTGAGE,19.51
25000,12.61,C,MORTGAGE,12.78
12000,10.91,B,RENT,40.8
7500,14.07,C,RENT,19.29
8900,7.35,A,MORTGAGE,14.49
25000,7.97,A,MORTGAGE,137.7
28800,10.91,B,RENT,5.96
14500,26.77,E,MORTGAGE,49.68
10000,6.71,A,RENT,17.57
30000,10.41,B,OWN,17.2
39825,7.96,A,MORTGAGE,19.12
16000,10.91,B,MORTGAGE,10.06
12000,19.03,D,RENT,24.57
8500,6.07,A,MORTGAGE,25.14
12000,14.08,C,RENT,18.88
11000,16.01,C,RENT,20.66
18000,10.91,B,MORTGAGE,13.49
2000,11.99,B,RENT,21.65
28000,17.47,D,MORTGAGE,13.67
5000,6.08,A,MORTGAGE,12.3
35000,20.39,D,MORTGAGE,45.8
13000,11.99,B,OWN,14.34
24000,26.77,E,MORTGAGE,34
35000,9.92,B,MORTGAGE,15.58
17000,11.99,B,MORTGAGE,12.38
35000,18.45,D,MORTGAGE,25.75
24000,19.03,D,RENT,119.48
10000,21.45,D,OWN,2.38
37800,9.43,B,OWN,1.23
5500,10.41,B,MORTGAGE,2.71
15000,12.61,C,RENT,16.31
30000,12.62,C,RENT,13.7
10000,13.58,C,RENT,9.94
24000,9.43,B,MORTGAGE,12.52
30000,19.03,D,RENT,18.58
24000,10.91,B,MORTGAGE,13.64
10000,9.44,B,MORTGAGE,15.95
11200,18.06,D,RENT,25.35
4000,7.34,A,RENT,4.3
29000,17.47,D,MORTGAGE,13.63
32000,12.62,C,MORTGAGE,33.88
7500,9.92,B,RENT,22.52
30000,7.97,A,MORTGAGE,22.49
30000,14.08,C,RENT,26.61
15000,19.03,D,RENT,31.03
25000,11.99,B,OWN,6.42
13500,10.41,B,MORTGAGE,31.61
20000,14.08,C,MORTGAGE,24.67
1500,21.45,D,MORTGAGE,18.36
10000,14.08,C,MORTGAGE,41.34
3000,13.59,C,RENT,16.18
15000,6.72,A,OWN,24.26
10000,10.42,B,OWN,NA
19000,6.72,A,RENT,19.96
18000,5.32,A,MORTGAGE,16.7
30000,12.62,C,RENT,13.37
12000,14.08,C,MORTGAGE,4.26
15000,21.45,D,MORTGAGE,9.5
2000,16.02,C,MORTGAGE,31.33
25000,21.85,D,MORTGAGE,18.66
10000,11.99,B,RENT,19.44
30000,28.72,F,MORTGAGE,4.48
28000,9.44,B,MORTGAGE,25.85
15000,18.06,D,MORTGAGE,34.61
1600,21.45,D,OWN,47.13
19200,11.98,B,RENT,35.64
21275,19.03,D,RENT,31.93
15000,10.91,B,RENT,20.89
12000,14.08,C,MORTGAGE,52.03
8400,6.72,A,MORTGAGE,1.75
15000,7.34,A,MORTGAGE,11.2
5200,6.08,A,RENT,26.61
7000,6.72,A,MORTGAGE,20.11
20000,10.91,B,MORTGAGE,13.66
40000,14.08,C,MORTGAGE,37.58
10300,11.99,B,RENT,15.04
5000,14.07,C,OWN,10.71
14000,13.59,C,RENT,32.05
18000,12.62,C,RENT,11.87
4000,14.07,C,MORTGAGE,12.29
16000,7.35,A,OWN,34.89
8000,14.08,C,RENT,27.99
10000,10.9,B,RENT,7.68
12000,16.01,C,MORTGAGE,23.38
12000,12.62,C,OWN,40.04
30000,26.77,E,MORTGAGE,28.29
12000,17.09,D,MORTGAGE,22.1
14400,13.59,C,MORTGAGE,31.73
36350,12.61,C,RENT,17.36
15000,6.08,A,OWN,19.88
21000,26.3,E,MORTGAGE,33.96
10000,12.62,C,OWN,12.42
27000,7.96,A,RENT,14.05
4000,14.08,C,MORTGAGE,23.05
12000,15.04,C,RENT,11.21
10000,14.08,C,MORTGAGE,60.63
30000,25.82,E,MORTGAGE,39.88
16000,9.93,B,OWN,16.11
18000,13.58,C,RENT,18.09
3000,16.01,C,RENT,8.11
12000,13.59,C,RENT,27.98
4200,13.58,C,RENT,37.36
25000,5.32,A,OWN,8.9
8800,10.9,B,OWN,22.96
5000,10.42,B,MORTGAGE,132.98
6000,9.93,B,MORTGAGE,22.78
11500,6.72,A,RENT,7.89
37000,12.61,C,RENT,0
16000,12.62,C,RENT,29.02
18000,9.43,B,MORTGAGE,23.08
15600,12.61,C,MORTGAGE,NA
7000,6.07,A,MORTGAGE,30.05
18000,9.93,B,RENT,23.72
6000,16.02,C,RENT,18.19
35000,13.58,C,MORTGAGE,9.74
5000,7.35,A,RENT,7.13
40000,7.35,A,RENT,0.97
23500,13.59,C,MORTGAGE,42.27
2200,11.99,B,RENT,4.48
40000,5.32,A,MORTGAGE,22.31
40000,6.07,A,RENT,41.86
3000,11.98,B,OWN,6.86
40000,11.98,B,MORTGAGE,22.84
20000,11.99,B,MORTGAGE,25.23
12000,11.99,B,RENT,3.34
10000,7.97,A,OWN,25.23
20400,6.08,A,MORTGAGE,17.69
16000,16.02,C,MORTGAGE,5.9
35000,16.01,C,RENT,11.32
28000,17.09,D,MORTGAGE,30.69
35000,13.59,C,OWN,7.77
5000,10.91,B,RENT,6.01
1000,17.09,D,RENT,2.05
35000,9.43,B,MORTGAGE,14.45
15000,14.07,C,RENT,14.01
20000,9.93,B,MORTGAGE,25.66
7000,16.01,C,RENT,12.41
15000,5.32,A,RENT,18.24
10000,5.32,A,MORTGAGE,0.67
2000,12.62,C,OWN,35.56
14925,24.85,E,MORTGAGE,NA
11000,9.44,B,MORTGAGE,15.18
12000,15.04,C,RENT,8.7
32000,16.02,C,RENT,2.06
30000,17.47,D,RENT,11.53
25000,6.08,A,MORTGAGE,24.29
24500,9.93,B,MORTGAGE,17.67
20000,14.08,C,MORTGAGE,33.22
9600,11.99,B,RENT,12.8
10625,5.31,A,MORTGAGE,28.96
40000,16.01,C,MORTGAGE,19.96
24000,13.58,C,MORTGAGE,22.08
30000,14.07,C,RENT,28.24
21000,7.35,A,MORTGAGE,23.28
18000,10.42,B,OWN,16.26
12000,10.42,B,RENT,6.29
40000,7.35,A,MORTGAGE,9.79
6000,11.99,B,OWN,18.26
20000,7.34,A,MORTGAGE,10.29
24000,9.93,B,MORTGAGE,22.13
35000,13.58,C,MORTGAGE,44.7
2500,7.35,A,MORTGAGE,23.56
10000,14.07,C,RENT,31.44
30000,11.99,B,MORTGAGE,27.12
12500,9.44,B,OWN,12.28
15000,5.31,A,RENT,2.99
20000,14.08,C,MORTGAGE,28.31
11500,19.03,D,MORTGAGE,39.77
25000,14.07,C,MORTGAGE,12.23
13150,6.72,A,MORTGAGE,12.02
4000,5.31,A,MORTGAGE,4.65
40000,9.44,B,MORTGAGE,17.19
9000,6.08,A,RENT,20.79
20000,18.45,D,OWN,19.98
4200,10.9,B,MORTGAGE,22.67
20000,14.08,C,OWN,6.02
25000,9.93,B,MORTGAGE,4.27
23000,10.9,B,RENT,89.07
24000,15.05,C,RENT,26.98
24000,7.35,A,RENT,12.21
30150,26.3,E,RENT,53.25
40000,5.31,A,RENT,28.82
20000,9.93,B,MORTGAGE,20.66
24000,18.06,D,MORTGAGE,39.57
8000,10.9,B,MORTGAGE,NA
10000,7.97,A,MORTGAGE,33.78
15000,9.93,B,RENT,8.64
6300,7.35,A,MORTGAGE,25.94
35000,14.08,C,MORTGAGE,9.63
38000,10.91,B,MORTGAGE,18.07
5300,19.03,D,MORTGAGE,22.25
10000,7.35,A,OWN,2.43
20000,10.42,B,OWN,17.94
14000,16.02,C,RENT,18.7
28000,21.45,D,MORTGAGE,21.27
8000,13.58,C,MORTGAGE,17.88
6700,14.08,C,MORTGAGE,24.47
8000,7.34,A,RENT,20.91
25000,16.02,C,MORTGAGE,33.04
15000,9.44,B,OWN,12.05
27200,12.62,C,RENT,14.69
6600,7.35,A,RENT,21.13
16600,6.07,A,MORTGAGE,27.74
9000,9.93,B,RENT,31.33
10000,9.43,B,MORTGAGE,22.57
9000,5.31,A,OWN,12.72
16000,17.09,D,RENT,21.42
16000,9.93,B,MORTGAGE,11.2
30000,19.03,D,RENT,18.15
35000,17.47,D,MORTGAGE,17.66
9000,7.34,A,RENT,17.53
11000,6.72,A,MORTGAGE,16.85
16000,6.72,A,OWN,22.54
14000,10.91,B,MORTGAGE,12.67
21000,16.02,C,RENT,23.28
25000,6.72,A,MORTGAGE,15.09
3000,9.93,B,OWN,13.3
35000,21.45,D,MORTGAGE,19.64
35000,12.61,C,RENT,5.74
35000,21.45,D,MORTGAGE,31.64
10000,11.99,B,RENT,3.23
18000,6.08,A,OWN,10.69
17000,18.45,D,RENT,10.33
1200,24.85,E,RENT,12.54
20000,14.08,C,MORTGAGE,8.92
20000,15.05,C,MORTGAGE,15
40000,9.43,B,MORTGAGE,21.21
15600,6.72,A,MORTGAGE,17.08
8000,6.71,A,MORTGAGE,25.65
20000,9.44,B,RENT,10.52
3000,9.44,B,RENT,6.31
32000,10.42,B,MORTGAGE,27.79
2200,30.65,F,RENT,37.72
5000,9.93,B,MORTGAGE,19.7
10000,9.43,B,OWN,28.95
13000,9.44,B,RENT,16.61
16000,11.99,B,MORTGAGE,18.42
24000,21.85,D,MORTGAGE,31.74
30000,13.58,C,RENT,33.81
6600,7.35,A,RENT,36.01
10500,7.97,A,MORTGAGE,4.64
20000,25.82,E,MORTGAGE,20.56
3800,9.43,B,MORTGAGE,12.82
20000,14.07,C,RENT,0
18000,20,D,MORTGAGE,32
40000,9.43,B,OWN,7.7
1200,14.08,C,MORTGAGE,27.61
30000,15.05,C,MORTGAGE,14.6
15000,9.92,B,MORTGAGE,4.33
23525,14.08,C,MORTGAGE,16.4
20000,13.58,C,OWN,20.54
17000,18.06,D,RENT,28.58
30000,10.42,B,OWN,21.6
2800,16.02,C,MORTGAGE,22.49
10000,20,D,RENT,15.44
12000,12.62,C,MORTGAGE,12.92
25000,9.93,B,MORTGAGE,19.09
10000,18.45,D,MORTGAGE,25.96
3600,6.08,A,OWN,23.34
1675,9.43,B,OWN,10.45
16000,10.42,B,OWN,29.66
8500,16.02,C,MORTGAGE,32.37
20000,11.98,B,MORTGAGE,39.37
8000,19.42,D,MORTGAGE,13
30000,10.91,B,RENT,10.38
20000,21.45,D,RENT,5.11
2500,25.81,E,MORTGAGE,50.47
40000,7.96,A,OWN,25.71
19950,30.17,F,MORTGAGE,23.51
26250,12.62,C,MORTGAGE,49.78
20000,10.91,B,MORTGAGE,23.08
40000,11.99,B,OWN,10.27
18000,7.97,A,MORTGAGE,18.4
3000,7.34,A,OWN,24.48
10000,12.62,C,OWN,13.05
5000,6.72,A,MORTGAGE,11.64
15000,15.04,C,MORTGAGE,29.72
9600,6.08,A,OWN,15.26
16000,11.98,B,RENT,19.75
5000,12.61,C,RENT,9.71
13850,21.45,D,MORTGAGE,39.12
2000,10.42,B,RENT,15.44
12000,14.08,C,OWN,29.69
11200,9.44,B,RENT,12.04
7200,10.41,B,RENT,26.06
7500,12.62,C,MORTGAGE,24.63
10000,19.03,D,RENT,3.59
25000,9.44,B,MORTGAGE,20.4
5000,10.9,B,RENT,5.96
25000,24.85,E,MORTGAGE,27.68
13200,9.44,B,RENT,8.9
1600,10.42,B,RENT,25.7
20000,14.07,C,MORTGAGE,22.92
40000,9.44,B,MORTGAGE,4.44
3200,12.61,C,RENT,19.8
15000,6.08,A,MORTGAGE,8.66
18000,6.08,A,MORTGAGE,18.35
10000,16.02,C,RENT,25.14
10000,15.04,C,RENT,23.01
10000,5.31,A,MORTGAGE,8.69
8400,20,D,RENT,30.84
19000,20.39,D,OWN,27.53
9000,9.43,B,MORTGAGE,1.56
15000,9.93,B,MORTGAGE,34.01
24450,12.62,C,MORTGAGE,12.81
18000,13.59,C,RENT,15.21
11000,7.35,A,OWN,18.64
12000,10.9,B,MORTGAGE,34.23
21000,9.93,B,MORTGAGE,12.67
2000,10.91,B,RENT,7.68
8000,10.9,B,RENT,11.37
21000,16.02,C,RENT,5.39
3000,20,D,MORTGAGE,12.39
20000,24.85,E,RENT,16.79
20000,28.72,F,RENT,28.46
18000,6.72,A,MORTGAGE,22.14
10000,14.08,C,MORTGAGE,23.61
5000,9.93,B,RENT,12.33
20000,12.62,C,OWN,10.03
40000,6.72,A,MORTGAGE,18.87
29000,7.35,A,MORTGAGE,27.53
3000,10.91,B,OWN,77.67
24000,16.02,C,RENT,25.92
20000,9.93,B,MORTGAGE,20.4
1500,18.06,D,MORTGAGE,29.11
30000,9.93,B,MORTGAGE,24.76
5000,17.09,D,MORTGAGE,38.46
9550,7.35,A,RENT,9.11
10000,12.62,C,RENT,5.41
15000,9.93,B,MORTGAGE,37.21
14400,21.85,D,OWN,32.8
15000,9.44,B,RENT,18.46
30000,10.9,B,RENT,22.97
20000,20,D,MORTGAGE,8.38
8000,13.59,C,RENT,32.8
14400,9.93,B,MORTGAGE,30.91
24000,9.93,B,RENT,12.48
8500,7.96,A,MORTGAGE,22.08
28000,21.45,D,MORTGAGE,20.77
16000,24.85,E,MORTGAGE,24.09
9000,17.09,D,MORTGAGE,56.92
12000,21.45,D,OWN,22.42
24000,11.99,B,RENT,19.18
28000,13.58,C,MORTGAGE,33.34
8000,19.03,D,RENT,27.05
28000,7.97,A,MORTGAGE,9.88
13000,7.35,A,OWN,21.07
5575,22.91,E,MORTGAGE,36.2
8000,9.93,B,MORTGAGE,12.55
27000,6.71,A,OWN,37.42
15000,6.07,A,MORTGAGE,13.84
40000,10.42,B,MORTGAGE,23.15
6000,12.61,C,MORTGAGE,32.41
11000,16.01,C,RENT,28.02
12000,6.07,A,MORTGAGE,12.98
6500,6.08,A,MORTGAGE,10.43
20000,15.05,C,RENT,21.41
2500,7.96,A,RENT,22.51
24000,15.04,C,MORTGAGE,6.91
10000,6.08,A,MORTGAGE,18.7
20000,14.08,C,RENT,33.81
11000,11.99,B,RENT,22.37
8000,10.9,B,RENT,16.47
7800,13.58,C,RENT,17.17
9000,10.91,B,RENT,1.07
30000,9.93,B,OWN,20.69
8000,19.03,D,OWN,35.5
10000,10.41,B,RENT,10.89
12000,9.43,B,MORTGAGE,10.06
7000,18.06,D,RENT,30.67
20000,12.62,C,RENT,19.92
25000,12.62,C,RENT,15.59
9000,14.08,C,MORTGAGE,13.14
6000,6.71,A,OWN,15.12
25600,14.08,C,RENT,21.42
11000,11.99,B,RENT,22.98
30000,21.45,D,RENT,9.26
3500,16.01,C,MORTGAGE,27.11
12000,6.71,A,RENT,2
25000,12.61,C,OWN,18.36
10000,13.58,C,MORTGAGE,8.84
16000,7.35,A,OWN,13.88
3000,17.47,D,OWN,28.99
30000,21.45,D,RENT,4.14
7200,11.98,B,OWN,25.46
12000,15.05,C,RENT,16.44
1000,11.98,B,RENT,10.13
7200,6.72,A,MORTGAGE,4.19
32000,15.05,C,MORTGAGE,7.81
16000,20.39,D,MORTGAGE,27.78
5000,16.02,C,RENT,16.36
40000,5.32,A,MORTGAGE,28.77
40000,7.35,A,RENT,12.58
35000,10.42,B,MORTGAGE,36.6
5000,16.02,C,RENT,13.28
1800,6.07,A,RENT,6.34
5000,19.03,D,RENT,16.07
35000,6.71,A,RENT,9.1
8000,6.72,A,MORTGAGE,35.2
6025,18.45,D,OWN,10.42
38375,16.02,C,MORTGAGE,21.74
5000,9.44,B,MORTGAGE,12.79
4000,22.91,E,RENT,30.9
6500,6.08,A,RENT,9.15
5000,9.92,B,MORTGAGE,16.5
30000,12.62,C,MORTGAGE,36.15
20800,12.62,C,MORTGAGE,22
9000,21.45,D,MORTGAGE,18.09
1500,6.08,A,OWN,16.02
20000,17.47,D,MORTGAGE,34.98
28000,11.98,B,OWN,18.22
15000,15.05,C,RENT,9.9
6000,16.02,C,RENT,12.99
3600,10.91,B,MORTGAGE,23.59
12000,7.97,A,RENT,13.82
4000,14.07,C,RENT,27.88
24000,24.85,E,MORTGAGE,6.39
18000,13.58,C,MORTGAGE,22.16
32000,9.93,B,RENT,10.49
10000,6.08,A,RENT,24.5
24000,7.35,A,MORTGAGE,11.4
1925,15.04,C,RENT,2.7
9000,9.44,B,MORTGAGE,5.39
10000,12.61,C,OWN,26.6
20000,11.98,B,MORTGAGE,25.36
10000,12.61,C,RENT,22.88
7300,6.71,A,RENT,8
24000,20.39,D,OWN,14.08
19000,9.43,B,MORTGAGE,15.77
9600,22.91,E,OWN,12.35
21000,16.02,C,OWN,21.09
28000,10.42,B,MORTGAGE,27.76
20000,20.39,D,RENT,10.31
10000,12.61,C,RENT,14.3
12000,15.04,C,RENT,21.55
15000,6.08,A,RENT,18.89
20000,18.06,D,MORTGAGE,191.7
12000,10.91,B,MORTGAGE,19.05
16000,7.34,A,RENT,23.21
40000,6.72,A,MORTGAGE,17.19
2000,15.05,C,RENT,37.07
40000,5.32,A,MORTGAGE,2.68
20000,6.72,A,RENT,8.4
7500,19.03,D,RENT,23.84
7000,7.97,A,MORTGAGE,35.38
24000,17.09,D,RENT,39.51
6000,14.08,C,RENT,10.72
4800,15.04,C,MORTGAGE,17.71
5000,21.45,D,RENT,42.65
5600,9.44,B,MORTGAGE,5.95
21000,9.93,B,MORTGAGE,48.19
21275,14.08,C,OWN,17.95
35000,15.05,C,MORTGAGE,174.49
24000,15.05,C,RENT,16.37
5000,9.44,B,RENT,15.92
20000,5.31,A,MORTGAGE,9.37
18000,10.42,B,MORTGAGE,18.5
3500,6.72,A,MORTGAGE,7.47
18000,17.09,D,RENT,33.28
10000,14.07,C,RENT,8.55
24000,13.59,C,RENT,18.8
35000,15.04,C,OWN,28.93
10000,11.98,B,MORTGAGE,3.27
24000,9.92,B,MORTGAGE,30.64
25000,15.04,C,OWN,14.14
30000,17.47,D,RENT,29.27
20800,6.07,A,RENT,6.77
20000,11.99,B,RENT,14.77
4000,14.07,C,MORTGAGE,43.08
30000,6.08,A,MORTGAGE,26.79
1200,13.58,C,RENT,4.28
30000,5.32,A,RENT,7.98
13600,15.04,C,MORTGAGE,7.95
27000,10.42,B,RENT,20.48
8000,7.35,A,RENT,18.01
20000,13.58,C,MORTGAGE,32.08
9600,7.35,A,OWN,24.91
10000,7.34,A,RENT,37.24
30000,10.42,B,OWN,9.38
35000,11.98,B,MORTGAGE,7.99
8000,16.02,C,MORTGAGE,34.08
4000,12.61,C,MORTGAGE,9.07
23100,9.44,B,RENT,15.02
24000,19.03,D,MORTGAGE,4.55
33100,14.08,C,MORTGAGE,24.36
15000,9.44,B,RENT,22.59
8000,9.93,B,MORTGAGE,11.33
15000,30.79,G,RENT,25.3
30000,18.45,D,MORTGAGE,19.55
5000,9.93,B,RENT,9.36
10000,16.02,C,MORTGAGE,11.57
6500,9.44,B,MORTGAGE,10.56
10000,16.02,C,MORTGAGE,34.49
28000,14.07,C,RENT,22.65
30000,17.09,D,OWN,3.47
6000,12.62,C,OWN,35.95
30000,16.01,C,RENT,21.44
10000,10.91,B,RENT,18.56
30000,16.02,C,OWN,29.97
7000,11.98,B,OWN,20.04
40000,7.35,A,OWN,1.5
5000,15.04,C,RENT,15
12000,13.58,C,MORTGAGE,22.64
10000,7.97,A,MORTGAGE,29.17
16000,20.39,D,MORTGAGE,94.29
2000,10.42,B,MORTGAGE,35.16
13000,7.97,A,MORTGAGE,21.98
25000,9.93,B,MORTGAGE,14.94
10000,19.03,D,MORTGAGE,14.05
5000,10.42,B,RENT,3.6
16000,7.35,A,RENT,23.72
12000,15.05,C,OWN,2.98
8500,13.59,C,MORTGAGE,2.1
40000,5.31,A,MORTGAGE,4.66
20000,21.45,D,MORTGAGE,13.54
32000,26.3,E,RENT,32.71
29825,6.08,A,MORTGAGE,12.44
2500,18.06,D,MORTGAGE,18.23
12000,7.96,A,RENT,15.07
8000,20,D,RENT,30.89
20000,12.61,C,RENT,4.99
6000,6.08,A,OWN,6.26
6000,13.58,C,OWN,10.58
20000,15.05,C,RENT,30.35
16000,5.31,A,MORTGAGE,18.41
24000,7.35,A,MORTGAGE,17.91
6000,7.34,A,MORTGAGE,11.52
12000,7.97,A,RENT,13.71
